tweet_id,text,score,rank,point,class,Calibrated score,log_score
7756079985.0,cant find a job. starting to go crazy,0.976542532,1,0,1,0.9999999954361112,-0.0103088368506279
12360228575.0,lost my job yesterday. Anyone who wants to party hit me up tonight ill buy,0.976530492,2,0,1,0.9999999954115107,-0.0103141913924171
9.60815e+17,Currently unemployed and have zero fucks to give bruh!,0.976460397,3,0,1,0.9999999952653742,-0.0103453660096603
1141089287.0,Lost my job...nobody to talk to...lol,0.976014137,4,0,1,0.999999994206413,-0.0105438917834864
1.24071e+18,@pulte I lost my job and I have no idea what I’m going to do 😔 please helpppp,0.97592485,5,0,1,0.9999999939647909,-0.0105836234059306
1.00994e+18,just got fired 😁,0.97583735,6,0,1,0.9999999937172558,-0.0106225633620297
4.23103e+17,"It's cool. Lost my job, but God got me☺️",0.975819409,7,0,1,0.999999993665139,-0.0106305480419834
8.51959e+17,Well. Just lost my job. That sucks a lot,0.975674212,8,0,1,0.999999993225512,-0.0106951736757305
20443634941.0,lost my job today. wasnt much but I liked my job.,0.975634396,9,0,1,0.999999993099197,-0.0107128970322749
1810863244.0,job searching.,0.975530028,10,0,1,0.9999999927556871,-0.0107593579516858
26406018986.0,misses having a job.,0.975509346,11,1,1,0.9999999926854175,-0.0107685654321649
1.24182e+18,@RepKatiePorter I can do this because I lost my job Thursday.,0.97549963,12,1,1,0.9999999926521494,-0.0107728909942081
1.19398e+18,just got fired :D,0.975384235,13,1,1,0.9999999922441106,-0.0108242681291537
1.16212e+18,@pulte can you help me while I look for jobs? Just lost my job today.,0.97536999,14,1,1,0.999999992192045,-0.0108306108296493
7.06575e+17,Quit my job and made more money unemployed …,0.975359321,15,1,1,0.9999999921527987,-0.0108353613481363
6.39104e+17,"@kaourika Computer died, lost my job, waiting for Awful Thing #3 to happen.",0.975358188,16,1,1,0.9999999921486182,-0.0108358658349681
8.05908e+17,"@SUP3RFRUIT #AskSuperfruit I just lost my job, any advice?",0.975340843,17,1,1,0.9999999920843159,-0.0108435890538441
1.20309e+18,@pulte Just lost my job maybe Twitter will save me 😭,0.975308299,18,1,1,0.9999999919621074,-0.010858080311463
1269009569.0,got fired yesterday. u.u,0.97527504,19,1,1,0.999999991835078,-0.0108728904453201
1.24374e+18,"@jack I just lost my Job, please Help $jay22397",0.975257576,20,1,1,0.9999999917674982,-0.0108806673148479
2.02794e+17,"Well, laid off. Anyone hiring?",0.973621845,101,2,1,0.9999999816644198,-0.011609690471782
2878139207.0,"trying to find a job, any suggestions",0.973619938,102,2,1,0.9999999816466779,-0.0116105411104487
5661803171.0,"needs to find a job, b/c my spending fund is hovering around zero!",0.973594189,103,2,1,0.9999999814052841,-0.0116220269028535
5.38183e+16,@LilMarcieMouse i lost my job so no work yet r u still on todhd,0.973587036,104,2,1,0.9999999813376169,-0.0116252176776917
7.18874e+17,well I don't have a job now,0.973583221,105,2,1,0.9999999813014175,-0.0116269194635961
2.95589e+17,Quit my job today :) Never Everrrrrr going back!!,0.973579705,106,2,1,0.9999999812679881,-0.0116284878782141
1.14839e+18,officially jobless somebody hook me up w a job,0.973549426,107,2,1,0.9999999809774042,-0.0116419949460395
9467531846.0,really need to find a job so i can get an apartment...,0.973544896,108,2,1,0.9999999809335116,-0.0116440157562086
2.96729e+17,"Currently unemployed, should be saving money, instead I just went shopping.. I have a problem",0.973509848,109,2,1,0.999999980590189,-0.0116596508101796
1.54286e+17,So I just lost my job. I bet that's just what my love life needed. So much more time to not get women to like me. #Unemployed,0.973501146,110,2,1,0.9999999805039116,-0.01166353289466
4.55696e+17,I can't get a job to save my life..,0.971733749,317,3,1,0.9999999503507464,-0.012452713653877
4.72559e+17,"This sucks. ""@ArsenioHall: :-(  I lost my job ... AND The Clippers, in a 48 hour period! 
#badweek ... Love y'all ...""",0.971721232,318,3,1,0.9999999500090098,-0.0124583078807392
8.14241e+16,HELP !i need a job,0.971714258,319,3,1,0.999999949817515,-0.0124614248040766
4.01324e+16,I’m unemployed what are my options for a loan modification or a reduction in mortgage payment?: http://GoArticles.com/4219475,0.971713901,320,3,1,0.9999999498076914,-0.0124615843604043
9.80308e+17,"Quit my job today, bye daddy Jake can’t live this lifestyle anymore 😂 gotta be a sugga baby now 🤷🏼‍♂️",0.971709609,321,3,1,0.9999999496894253,-0.0124635026164166
