,id,pos_model,neg_model,text,pos,neg
0,2357,0.9924831986427307,0.007516846992075443,Does anyone know any places hiring? #needajob,0,1
1,3506,0.36168116331100464,0.6383188366889954,Thomas Pridgen was once asked what the secret to his success was and he said I never worked a day job.And that is why I am unemployed.,0,1
2,3368,0.9906080961227417,0.009391875937581062,Social Media Friend or Foe? Some Use Social Media to Get Hired Others to Get Fired http://t.co/AswAEWYvfw #socialmedia,0,1
3,4980,0.8770179152488708,0.12298207730054855,Due to the politics in my office I am unable to work on certain days therefore my asking to switch days this week was denied.,0,1
4,1110,0.9926694631576538,0.007330512162297964,I am job searching for: Work at home jobs! http://t.co/4tgcXWg6JK — Walker Inklebarger (@Walker_marocliv.... http://t.co/Wzgp5pE2qL,0,1
5,4515,0.9852648377418518,0.014735147356987,My laundry consists of swimsuits pajamas work out clothes and towels #unemployed,0,1
6,762,0.9930991530418396,0.006900889798998833,Got a job interview? Here is some helpful advice for answering Why are you interested in this position? http://t.co/1eIKIMKwTC,0,1
7,2556,0.9927319884300232,0.007268029265105724,Looking for an exciting new #job? Opportunities include an ETL/Tableau Developer position in #Arlington VA. #... https://t.co/jJMLJ4zEHV,0,1
8,1571,0.9914554953575134,0.00854450836777687,Looking for a job a new career or more job satisfaction? 51 Career and Job Affirmations. http://t.co/TcakfW48TV,0,1
9,1215,0.9899033308029175,0.010096690617501736,Here Is An Opportunity For You To Earn Additional Income Without Any Investment. You Can Work From Home O... http://t.co/WQLOPR9rmQ cssp,0,1
10,4419,0.9287443161010742,0.07125570625066757,@MBSchwietz We are looking into the issue -- the pump stations didnt automatically activate like they should. We fired them up manually.,0,1
11,2856,0.3915412425994873,0.6084587574005127,now I got 2 days to do 2 weeks worth of work????,0,1
12,1574,0.993164598941803,0.006835391279309988,Looking for a job? Engineering Manager - Renewable Energy at Black &amp; Veatch Holding Company (CO) http://t.co/NrAtr7aDeF #green #jobs,0,1
13,3335,0.9745610356330872,0.025438955053687096,Tennessee fired Bruce Pearl to avoid major NCAA sanctions. How desperate is your program to want to hire this guy? Jackie Sherrell anybody?,0,1
14,5428,0.9875190258026123,0.012480927631258965,Here’s how to answer #interview questions when you’ve been fired. https://t.co/5Ar4DbIZID https://t.co/0xKvwSIbMi,0,1
15,2950,0.9797194600105286,0.020280491560697556,My girlfriend recently started working nights. I’ve been wa... https://t.co/aWqpJdjXRT | https://t.co/9RmyT4AAU1 https://t.co/SqCF10id6j,0,1
16,3087,0.9824946522712708,0.017505332827568054,Momma said Im a winner not a quitter not today momma cause when I hit Ima quit her,0,1
17,3651,0.991771399974823,0.008228521794080734,Looking for a job in #Newark #NJ? Supervisor https://t.co/gHawIDCDx6 #jobs #hiring,0,1
18,2160,0.9929431080818176,0.007056855130940676,Searching for #work in New York NY? Send your #resume to Ernst &amp; Young MY. http://t.co/FTJ1Ossx4p #gethired,0,1
19,5544,0.9906416535377502,0.009358369745314121,Anyone looking for a part time position in the St. Paul MN area? Message me for more details! #jobs #hiring #stpaul #sales #merchandising,0,1
20,4202,0.9772955775260925,0.022704454138875008,@FreshLit_L: Gotta be at work at 4 am.. dayumm better get some sleep,0,1
21,3934,0.7756928205490112,0.22430719435214996,I got hired today and start tomorrow.,0,1
22,4363,0.9860376715660095,0.0139623386785388,Benedict Boehner -Soon to be FORMER Speaker of the HouseYOU ARE FIRED! Or...do us a favor and RESIGN!!! #Teaparty http://t.co/qNQ0CeJN,0,1
23,132,0.6085984110832214,0.39140158891677856,Today I was hired back into the food business. Yay. Aug 2 cant come fast enough. I just wanna teach my 5th grade hooligans,0,1
24,4673,0.05149594321846962,0.9485040903091431,Officially hired and working two jobs now. How am I ever gonna have time to watch my wrestling &amp; cartoons now?!,0,1
25,1281,0.8160709738731384,0.18392901122570038,I have disability case I am not working i well have to wait 18 month before my case herd in court but mr Obama paid millions in destroying,0,1
26,4952,0.04068214073777199,0.9593178033828735,Anyone hiring? On the verge of quitting my job,0,1
27,1785,0.9388548731803894,0.0611451156437397,Citizens Bank is making me cool my heels for 10 min now waiting to get back my ATM card. Seen busy doing nothing,0,1
