,neg_model,pos_model,text
207769,0.97409827,0.025901701,#Lawyer And #LawFirm Marketing: What is Your Brand? @sallyschmidt @attnyatwork http://t.co/Kx2Cwt9eQx http://t.co/svX8HI4IYF
276432,0.97394896,0.026050966000000002,130 #Keurig #workers'll be laid off #sales #market #business #smallbiz #tech #fundraising http://arz https://t.co/TRyeapLgO4
180549,0.9739386999999999,0.026061296,"Before choosing a company to do business with, do a little detective work and #AskBBB. https://t.co/0HAsf9E1XU https://t.co/yhIFLwmQsJ"
191510,0.9738511999999999,0.026148817999999997,RT @DanaFLove: Google #cloud making room for Hortonworks' #Hadoop distribution. #bigdata http://t.co/qoXSsgAsFP
190261,0.9738391,0.026160944,"#Florida #Jobs Entry Level Auditor: Crestview, newtoday.jpg Accounting Entry Level Auditor Speedee Cash Manage... http://t.co/HaMTeuAbal"
383893,0.97378325,0.02621678,#Job #Charlotte Registration Coordinators Needed for Corporate Health Fair Event (Charlotte): Wellness Corpora... http://t.co/Z8HUd7rQTM
290645,0.9736875,0.026312519,RT @TenthAmendment: #AssetForfeiture is Government Stealing. #equitablesharing #policestate. #10thAmendment https://t.co/FMMlKrEm1i https:/…
145652,0.97366244,0.026337637,#Job #Philadelphia Business Development Manager: Philadelphia Position Description: TheBusiness Development Ma... http://t.co/o9tPDuuycU
199786,0.97362816,0.026371777000000002,"#Job #NewYork Director, High Tech Investigations Unit: Newark Description: We are a Fortune 100 financial serv... http://t.co/olM4kanTHX"
413833,0.9735891999999999,0.026410827,RT @AdrianHibbertUK: Forget joining an MLM or Network Marketing Business unless you have a got a LIST... http://t.co/EmpzJb5d3h
383533,0.9735519,0.026448048999999998,"RT @JobSearchGPS: ""Unconventional job search advice"" http://t.co/QyVozAOVdN"
190665,0.9735161,0.026483951000000002,#Job #SanDiego Digital Design &amp; Content Specialist: San Diego Job Title: Digital Design &amp; Content Specialist S... http://t.co/KgGVgkvSZu
428517,0.9735091999999999,0.026490858,Someone's not so dream job. #chefslife http://t.co/0UifHoTETD
129818,0.9734947,0.026505307999999998,#Job #Baltimore Recruitment and Team Building Ambassador: Baltimore Recruitment and team building ambassador a... http://t.co/14XUCGXrUp
241148,0.9734885,0.026511505,RT @NCPolicyWatch: Business opposition growing to anti-LGBT bill in NC. #hb2 https://t.co/1m0f5mh16m #ncga #ncpol #WeAreNotThis https://t.c…
126227,0.9734771000000001,0.026522947,RT @CNAExecSearch: 5 Not-So-Secret Things That Recruiters Wish Job Seekers Knew http://t.co/cyxjQjRMSp
201271,0.97346014,0.026539893999999998,"#Job #Detroit Business Sales Agent: MI-Livonia, Logistics Retail Business Sales Agent Our Company: United Road... http://t.co/QmGtsNODOB"
226593,0.97335094,0.02664901,These five #interview mistakes might damage your chances for hire. Check this out to see how to avoid them. http://t.co/wDqQwVlPEE #jobhunt
390188,0.9733061,0.026693902999999998,RT @DTSSolarNation: #squad #solargang #putinwork https://t.co/vOJcI8BpQE http://t.co/bYSLZLfzQT
366211,0.9732953000000001,0.026704707999999997,@SenFeinstein You work for us. Did you forget? #RedNationRising #TeaParty #tcot http://t.co/hUsxYpK91O
306195,0.9732835,0.026716512,RT @MercerUSHealth: How does your diet factor into your work life? Does it give you energy or motivation? #wellness https://t.co/Doy8v5AzQb
222430,0.9731985999999999,0.026801362999999998,"http://t.co/Yf8OHczSM4 is hiring! #Public #relations in #Winston-Salem, apply now! #jobs http://t.co/ksN3PnIiza http://t.co/26G80i5fMZ"
139449,0.9731898999999999,0.02681011,#Job: Account Manager in #SantaClara http://t.co/3Ecx8BdQNS http://t.co/H5dGPibygY
81799,0.97315264,0.026847372,RT @discovereQ: #PokemonGo raises potential data security concerns in the workplace. #LegalTech https://t.co/UarUVbcMGx via @InsideCounsel
207110,0.97314984,0.026850122999999997,RT @UndercoverRec: Would You Reject a Job Seeker Because They Weren't on LinkedIn? http://t.co/dvabiPyhkK http://t.co/MM3phtH1tQ
191421,0.9731476,0.026852447999999998,#Buffalo #Jobs Customer Service Coordinator: Buffalo National fast-growing company seeks talented individual t... http://t.co/DlFR3VI4nt
21961,0.9730876,0.026912377999999997,"#Account Manager
#Orlando - #Best[][]Version[][]Media #Massillon  #hiring #JobOpening #rtjobs 
Apply: https://t.co/TNH1rjCgES"
374495,0.97305864,0.026941402000000003,"#Job #Columbus Traveling Business Consultant (Columbus): Traveling Business Consultant 
FOR IMMEDIATE CONSIDER... http://t.co/drKTPEbzRP"
144390,0.9730493,0.02695078,Recruiting top tech talent starts with the job description. @Instanttech shares how to make yours a hit @CIOonline http://t.co/Baq3wAdMBS
401718,0.9730478000000001,0.026952261,"#retail #jobs Retail Associate: Service, Markdowns, Recovery/Sizing, Cashiering etc. The Retail Asso... http://t.co/DvxEAuwZwQ"
384425,0.97300863,0.026991425,#Job #NewYork Audit Supervisor / Manager: Manhattan The Audit Supervisor / Manager will be responsible for: Id... http://t.co/Qq6kcRxynl
228774,0.97299725,0.027002727999999997,RT @GovJayNixon: A strong workforce = a strong economy. Thx to @UniteHere for standing against #RTW http://t.co/qIdL3lbEU2
211027,0.9729921,0.027007887,"#Job #Georgia Business Development Manager - Consumer Goods: GA-Atlanta, Summary The Business Development Mana... http://t.co/CVnU2xV6eL"
211659,0.9729899,0.027010072000000003,#Kingston #Jobs Best Buy Sales Consultant – Computing and DI Job: Kingston Job Title: Best Buy Sales Consultan... http://t.co/zUDqVvYGQM
122915,0.9729701,0.027029823999999997,"#Job #Atlanta Alliance Sales Manager: GA-Atlanta, Are you a solution seller with an experience of doing busine... http://t.co/qbBrWkTcWo"
71239,0.97294134,0.027058642,#share and #rt successful #jobfair hosted by @smaestasbarnes #NMPOL #CNM #ABQ #hd15 https://t.co/nVVGsPwUkw https://t.co/oBHy3UV7PG
